speaker,text,party,date,agenda,speechnumber,procedure_ID,partyfacts_ID,period,chair,MEP,commission,written,multispeaker,link,translationInSpeech,translatedText
Juan Fernando López Aguilar,"I do agree and I appreciate your suggestion – everything at hand, but beginning with us making up our mind. It is about time! Yes, of course we are encountering technical requirements and difficulties of all kinds – naturally, because this is the first time we are seeing a situation like this. It is unprecedented. The whole thing is unprecedented. But yes, we are on the move. We need only to make the decision as to freeze the assets, but also to get those assets on the move in actual help, active help to Ukraine. It takes confiscation, and it takes the translation of those frozen assets into actual aid to Ukraine, both in terms of ammunition and guns, but also in terms of financing the reconstruction. Thank you for your question.",S&D,2024-04-23,11. The use of Russian frozen assets to support Ukraine’s victory and reconstruction (debate),21, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-011_EN.html,,
Cyrus Engerer,"Madam President, Saifeddin, Zomi, Damian, James Kirby, John, James Henderson and Jacob all killed in a single Israeli airstrike while they were doing their work in Gaza. But we were told that it’s fine. The IDF informed everyone that it was a mistake, so now they expect that all should be forgiven, as if nothing ever happened. But let me send a clear message. We will not be swayed by hollow apologies. Your empty promises. No, we do not buy the notion that this was mere collateral damage. In a so-called mistake. 34 000 innocent lives have been lost in Gaza. And here is a fact for those who try to always put this down, find excuses. Oh, they’re not even here. The EPP, ECR and the far right. The fascists are not here today, but 34 000 lives in Gaza. To put this in context, is 1 400 000 lives in Germany, 1 100 000 lives in France, 1 million lives in Italy, 9 000 in my country, Malta. But even if it were just one life, we would stand up for that life to be counted. How many more lives need to be lost until we wake up to this genocide? Justice must be served. Justice means a ceasefire. Justice means that we recognise Palestine as a State, so that Palestinians can live freely in peace and be able to live their lives to the full. Spontane Wortmeldungen",S&D,2024-04-23,"10. EU’s response to the repeated killing of humanitarian aid workers, journalists and civilians by the Israel Defence Forces in the Gaza Strip (debate)",43, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-010_EN.html,,
Chris MacManus,"A Uachtaráin, the EU likes to say that it listens and it learns. Well today shows that it does not listen and it does not learn regarding economic sovereignty and austerity. This deal lays the seeds for future austerity, hollows out national economic sovereignty and empowers unelected Brussels bureaucrats to further interfere in national budgets. Ireland needs a massive investment to build schools, hospitals, houses for people and to aid the transition to a clean economy. So what does the EU propose? Hardening the austerity rules. With this plan, democratically elected governments will traipse to Brussels and ask permission to change budgets if arbitrary targets are not met. There is no exemption for building houses, but there is for building tanks. We were promised rules to aid investment: we got a doubling down on austerity rules and the failed policies of the past. The EU has failed to learn. I stand against austerity policies and say no to these Brussels rules. They should be ripped up before they do real damage to real people.",The Left,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),26, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,6402.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Matjaž Nemec,"Mr President, dear colleagues, this vote is an important one, and this is not a political issue, but a technical one. This is a continuation of the visa liberalisation which was adopted for Serbia already in 2009, for Kosovo since the beginning of this year. This decision is about making people’s lives better. In fact, it’s about 18 000 Serbian residents of Kosovo who are holders of the special passports. Since the beginning of this year, they remain the only category of citizens in the Western Balkans who do not enjoy visa liberalisation for the European Union. I believe there is no justification for that, political or other. This is also an issue that the EU created in 2009, and it is on us to fix it, dear colleagues. This is at its core a question of equal treatment or discrimination, and we should be against any form of discrimination. We must not allow that these citizens pay the price for the failures of their own politicians. The Council has already adopted the decision. The EEAS and the Commission strongly support it too. So, as your rapporteur, I ask for your support.",S&D,2024-04-23,5.22. Visa exemption for holders of Serbian passports issued by the Serbian Coordination Directorate (A9-0172/2024 - Matjaž Nemec) (vote),1,  bill_25943_ID,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-22_EN.html,,
Helena Dalli,"Mr President, in the Commission’s view, the appropriate place to address the matter of Europol cooperation with financial intelligence units in relation to the joint analysis is in the context of the anti-money laundering package. The Commission underlines that any such cooperation with Europol will occur in accordance with Regulation 2016/794, in particular, the rules of Europol’s tasks and on the protection of personal data laid down in that regulation.",-,2024-04-23,5.18. Access of competent authorities to centralised bank account registries through the single access point (A9-0004/2023 - Emil Radev) (vote),1,  bill_654_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-18_EN.html,,
Róża Gräfin von Thun und Hohenstein,"Mr President, dear colleagues, this vote is our answer to the request of over 24 million SMEs on our European market. When you ask them about their main problems, they name, in first place, bureaucracy, and then second, late payments. With this vote, we can solve the problem of late payments without creating any additional bureaucratic hurdles. For the first time, we introduce the long-expected maximum payment period, and I want to underline that those limits of 30, 60 or even 120 days are adapted to the specificities of the market, and they do not harm the principle of the freedom of contract. I want just to remind you that 98 % of companies on our common market are the SMEs, and they call for the introduction of the maximum payment period. Therefore, I urge you, dear colleagues, to support the amendments adopted by the IMCO Committee, and not others, and thus give a clear support to the million of those who need this support most. Let us send in the end of this term a good signal to our citizens, small and medium enterprises, and support them very clearly with this vote.",Renew,2024-04-23,5.16. Combating late payment in commercial transactions (A9-0156/2024 - Róża Thun und Hohenstein) (vote),1,  bill_25980_ID bill_25981_ID,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-16_EN.html,,
Marek Belka,"Mr President, dear colleagues, today we will vote on a topic which is very close to the hearts of Europeans – something all of us deal with virtually every day: payments. With this file, we do not only protect consumers from various types of fraud, oblige payment service providers to deliver higher transparency levels for ATM withdrawals, or give consumers better control over who has access to their data. We also ensure that online platforms such as Meta or Google are co-responsible for payment fraud happening through them. These are only some specific examples of what this file is dealing with. With this file, we prove to the EU citizens, even just before the elections, that we have their backs. We prove to euro-sceptics that they are wrong, and that the EU is an added value for each and every one of us. Colleagues, files like the payments package are negotiated several months. We did it – as David Bowie would say – under pressure, in several weeks. Thank you to the shadow rapporteurs for their cooperation. Thanks to my advisor, Pawel Wisniewski, for leading the technical work on this difficult, often very technical file. I ask you to vote in favour of the Payment Services Regulation. Let us give the Parliament a strong mandate to negotiate with the Council in the upcoming term.",S&D,2024-04-23,5.15. Payment services in the internal market and amending Regulation (EU) No 1093/2010 (A9-0052/2024 - Marek Belka) (vote),1,  bill_26007_ID,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-15_EN.html,,
Maria Spyraki,"Mr President, I will be very, very brief. Today we vote on the update of the revision of the classification, labelling and packaging of substances and mixtures, which is one of the key pillars of EU chemical legislation. It is also a very, very important component of our chemicals strategy for sustainability. The revision of CLP significantly increases the level of protection of consumers and the environment, as it introduced new hazard classes and thus increased the level of information provided for all products containing chemicals. We made the rules on marketing chemicals simpler and more transparent. Also, we go on with digital labelling, where possible, and provide instructions in order to address risks from online sale. Providing a derogation for some substances containing more than one constituent extracted from plants or parts of plants, we support agriculture and SMEs, and safeguard the sustainability and competitiveness of the essential oil sector. The revised regulation enhances the protection of children and the rights of the consumer, ensures the reliability of products and thus increases the safety of the European way of life. In addition, it introduces specific provisions for refill stations to ensure that risk mitigation measures are applied to minimise the exposure of humans, and provides an adequate period for industry to adapt to the new requirements. I would like to thank all colleagues involved in this report. I would like to thank all of you and particularly ECHA, which provided a lot of information and support to us.",PPE,2024-04-23,"5.13. Classification, labelling and packaging of substances and mixtures (A9-0271/2023 - Maria Spyraki) (vote)",1,  bill_26074_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-13_EN.html,,
Assita Kanko,"Mr President, better justice will mean safer countries and safer homes for our citizens. This legislation is a crucial step towards better judicial cooperation and faster law enforcement. This is particularly important when investigating cross-border organised crime such as terrorism, human drugs and firearm trafficking, migrant smuggling, cybercrime or money laundering. Together, we are about to ensure that justice in EU countries works better and faster, and that our citizens are protected and respected. As rapporteur, I would like to thank all the teams, especially Joanna and Anamaria, and all the shadows who contributed. This was good parliamentary work. This is the result – no ‘blah, blah, blah’ – and this Parliament can achieve. Thank you for your support.",ECR,2024-04-23,5.10. The transfer of proceedings in criminal matters (A9-0008/2024 - Assita Kanko) (vote),1,  bill_26056_ID,6400.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-10_EN.html,,
Helena Dalli,"Mr President, apology accepted. In its draft resolution objecting the delegated regulation proposing to increase the visa fee, the European Parliament states that during the inter-institutional negotiations on the digitalisation of visa procedures, the co-legislators agreed not to increase the visa fees due to estimated cost savings of a fully digitalised visa procedure. There was however no political agreement relating to the freezing of visa fees formalised in the amending regulation introducing the digitalisation of visa procedures. In the Commission’s understanding neither was there any informal agreement expressed orally during the political trilogues between the co-legislators to maintain the visa fee at its current level pending the implementation of the digitalisation of visa procedures. Digitalisation will only take place at the earliest as of 2028. And therefore the argument of cost savings is currently not relevant. The Commission does not agree with the Parliament’s statement that the proposal to increase the visa fee through the procedure provided for in Article 16(9) of the Visa Code ‘constitutes a breach of the agreement between the co-legislators reached during the inter-institutional negotiations, and, thus, undermines the principle of sincere cooperation’. With this delegated regulation, the Commission complies with Article 16(9) of the Visa Code.",-,2024-04-23,5.7. Objection pursuant to Rule 111(3): Commission delegated regulation amending Regulation (EC) No 810/2009 as regards the amount of the visa fees (B9-0216/2024) (vote),2, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-07_EN.html,,
Helena Dalli,"Mr President, Members, the EU Anti-Money Laundering Directive establishes a policy on third countries, and mandates the Commission to identify third-country jurisdictions with strategic deficiencies in their anti-money laundering and countering the financing of terrorism regimes. In line with EU legislation, the FATF list is the baseline of the EU list of high-risk third countries. Following the latest developments from the Financial Action Task Force, the Commission updated its list on 14 March 2024, proposing to add Kenya and Namibia, and to remove Barbados, Gibraltar, Panama, Uganda and the United Arab Emirates. In line with EU legislation, the Commission is committed to updating its list as soon as possible after the FATF plenary. Today, I am here to address Parliament’s concerns regarding the delisting of Gibraltar, Panama and United Arab Emirates. But let me also underline the importance of this vote in recognising the investment and positive progress made by the other jurisdictions proposed for delisting in this delegated act. The Commission, as a founding member of the FATF, has been closely involved in the delisting process of the UAE and Gibraltar within the FATF. Following on-site visits, the FATF concluded that all the shortcomings identified in the anti-money laundering / counter-terrorism financing regimes of these jurisdictions have been addressed through the implementation of their action plans. No additional EU benchmarks were required for these jurisdictions since the Commission has assessed that the FATF action plans were sufficiently comprehensive in view of the EU delisting criteria. Therefore, in line with EU legislation, the Commission proposed to delist Gibraltar and the UAE swiftly after their delisting by FATF. During the FATF plenary in February 2024, the Commission called on the UAE to continue improving its AML/CFT regime and to further collaborate in the field of international cooperation. The Commission is committed to closely follow developments on strengthening international cooperation in the existing structural dialogue with the UAE, in close cooperation with the European External Action Service. Panama was already delisted by the FATF in October 2023. It was not immediately delisted because the Commission decided to impose additional requirements to those in the FATF action plan. Panama has provided evidence to the Commission on the fulfilment of the EU additional benchmarks. The Commission services have evaluated this information and shared its assessment with the European Parliament, Member States and the Council. Therefore, the Commission is proposing to delist Panama following improvements in the transparency of beneficial ownership information. Panama has notably demonstrated that its competent authorities are effectively responding to foreign requests for cooperation in identifying and exchanging basic and beneficial ownership information of legal persons and legal arrangements. On the specific situation of the UAE, I hear your concerns. Since Russia’s full-scale invasion of Ukraine in February 2022, the EU has imposed strong sanctions to curb Russia’s war capabilities. These sanctions are applicable within the EU and to EU operators. Russia is, as we know, actively seeking ways to circumvent our sanctions by, among others, relying on imports from third countries. EU sanctions do not apply extraterritorially. They only apply to third country operators if there is an involvement of an EU operator. Fighting sanctions circumvention is one of our key priorities. Let me note that there is no legal basis in the EU AML/CFT framework to counter sanctions circumvention. We are addressing sanctions circumvention via other instruments. The Commission monitors trade to prevent the flow of restricted goods into Russia, and is able to identify suspicious trade routes and entities engaged in this trade. The UAE is among the third countries for which a careful monitoring of trade is being undertaken. The Commission is in close contact with the UAE on potential sanctions evasion through its territory. EU Special Envoy for Sanctions, David O’Sullivan, has visited the country twice, in February and September 2023. Subsequently, the UAE authorities prohibited the re-export of sensitive battlefield items to Russia. This was an important step. Additionally, two UAE-based entities have been listed in the latest EU sanctions package imposing export restrictions from the EU to these companies. It is true that signs are not encouraging and there is a lack of transparency on data from the UAE side. Therefore, the Commission will continue to conduct political outreach and seeks to organise bilateral technical meetings between administrations to foster cooperation on suspicious trade patterns. In fact, the Special Envoy is on a visit to the UAE this week in order to further his discussions with authorities. Finally, let me assure you that we remain proactive and vigilant. We will continue assessing the situation, and we are ready to address any risks for the efficiency of our sanctions policy and for the protection of the EU’s financial system.",-,2024-04-23,"5.6. Objection pursuant to Rule 111(3): Deleting Gibraltar from the table in Point I of the Annex to Delegated Regulation (EU) 2016/1675 (B9-0210/2024, B9-0222/2024) (vote)",1, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-005-06_EN.html,,
Paolo Gentiloni,"Mr President, thank you for this debate. Let me again underline that what we are voting today is a compromise, and I like compromises. Today I think we can close an important process which we started indeed four years ago, just before the COVID-19 crisis, in a traditionally very controversial matter among Member States and political families. Of course, the adoption of the new governance will not solve all our problems. I heard very much the word ‘investments’, and of course we need massive investments. This is the Commission which proposed NextGenerationEU, this is the Parliament that approved NextGenerationEU and cooperated with the Commission in its implementation and I’m sure that the next Commission and the next Parliament will discuss how to address this massive need of investments. But the economic governance would prepare us better for the future with the new rules. Via a combination of prudent fiscal policies and growth-enhancing reforms and investment, it would ensure a gradual and realistic reduction of debt levels and foster growth and resilience in the EU. For this reason, your vote is very important.",-,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),36, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Valdis Dombrovskis,"Mr President, honourable Members, it was more than four years ago we launched the review of our economic governance just before the outbreak of the pandemic. Our response to that substantial shock was ambitious. The same sense of ambition is reflected in this political agreement. Adoption by the Parliament following this debate would pave the way for revised fiscal rules to enter into force by the end of April. They would then start to guide Member States’ economic policies for the years to come. This would be accomplished by a simpler system and greater national ownership to ensure enhanced compliance and effectiveness. As many of you have raised this issue, let me recall that the new framework will strengthen the social dimension within the European Semester. The new fiscal rules will serve as a cornerstone of the EU’s macroeconomic and financial stability. This means acting to reduce debt and keep it at a sustainable level; ensuring sound public policies across all Member States; and building a solid base for future growth based on reforms and investments. In conclusion, your vote today is important for ensuring a credible, modernised economic governance for all EU Member States. At such a time of record-high public debt, this is essential to maintain sound public finances and sustained economic growth across the whole EU.",-,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),35, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Seán Kelly,"A Uachtaráin, my late dear mother used to say to me: ‘Seán,’ she’d say, ‘money isn’t everything. But without it you have nothing.’ And thus, she’s right, we have rich countries, poor countries, rich people, poor people. But when you have money, you must use it prudently – and if you don’t, you lose it. And we found that in our country, many others, during the recession: we over borrowed and went bust. Now that we have recovered, we have to manage prudently. And as the Commissioner has pointed out, we have to reduce public debt, but, at the same time, not inhibit growth and investments – especially investments that reduce emissions – in agriculture, transport renewables are key. So I hope that we can continue and maybe loosen state aid rules to allow those investments. The quicker they happen, the sooner you’ll get a return. And without them, to use my mother’s phrase, we will have nothing and will go nowhere.",PPE,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),32, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Bas Eickhout,"Mr President, we are in a position of a crucial decade for investments within Europe. Talking about the Green Deal and our competitiveness that we had in the previous discussion. Investments are crucial for European competitiveness and, if we look around the world, Europe is lagging behind. On defence, a lot of our colleagues are also pressing investments in defence. We need to build up Ukraine, which will be massive investments. This decade will be a decade of investments or we will lose out as a European Union. And then look what’s happening. Will there be a continuation of the RF? Probably not. Countries will block it. Will there be an MFF review that will be sincere? Well, even the mid-term review was a joke. Then Capital Markets Union: it’s being blocked. Will there then be any sustainable finance to guide private financing to the right sources? It’s stalled and being halted and no movement there. And now on top of that, we are going to limit the possibilities of national governments to invest by this reform of the Stability and Growth Pact, we are tying ourselves down where there should be a decade of investments. This is stupidity.",Greens/EFA,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),24, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Frances Fitzgerald,"Mr President, Commissioner, there can be no equality without the eradication of violence against women and domestic violence. That’s clear. This week, we have the opportunity to live up to one of our founding European ideals: equality between women and men. Equality across the European Union is floundering in some places: hateful LGBTQ zones created to bully people into conformity, brutal rollback of abortion care and the ever-thundering train of domestic violence that never gets quieter, it seems, but actually – as we’ve seen through the COVID-19 pandemic – only gets louder. And why are women targeted? Because there is, sadly, just beneath the surface, the belief that women are lesser. Every year, gender-based violence costs the European Union a staggering EUR 366 billion – a cost that we cannot afford economically but one we cannot afford socially, because behind these numbers we find fractured families, traumatised children and devastated women living in fear every single day. So the opportunity that presents itself here to us today is to make a stand for the women of Europe, to adopt the directive on combating violence against women and domestic violence. This will send a strong message across the European Union to all 27 Member States and 450 million citizens: we’ll not stand for violence. We have to build on the accession of the Istanbul Convention. We are creating a robust framework. So the goal should be that Europe will be the first continent in the world to eradicate violence against women. But the adoption tomorrow is not enough. We need a robust monitoring framework and a genuine commitment across all levels of government to ensure that this is really implemented, that we tackle this with the right resources and supports. And I would say to the ministers for justice across the European Union – and we saw ambivalence from some of them – to do your absolute utmost, learn from your colleagues across Europe what works well, exchange best practice, fight for that extra bit of budget, invest in resources and make successful tackling of this crime your legacy. We do not want to cut corners on the implementation of this legislation. Don’t try and minimise it; build on it. To the Prime Ministers and Presidents: work with your governments to make sure that this is implemented, that you build on the very best practice so you build a society that’s fit for the women and girls of today and tomorrow. And, obviously, to the European Commission – congratulations to them, to the Commissioner here and Ursula von der Leyen – be clinical in your examination of the transposition of this directive, because this really matters. And do tell us, when the time comes, what has been achieved. I know we will have more to do because, as I have said, this is the beginning. We have come far with this directive. We should have gone further but there was huge resistance, as my colleague Evin Incir has said. But I am confident that with this directive, our Union will be a better place for its adoption. But, again, the real work begins now. Let’s make sure that that’s done all over Europe. We need to go forward together, and there was great cooperation in this House when we were working on this directive. We need to go forward and achieve that secure European future that the women of Europe and the young girls of Europe deserve. I wholeheartedly urge every Member of this House to vote in favour of this directive tomorrow. Do not be distracted. It can save and change countless lives of women right across Europe. This directive is very important. It has new offences. It has sections on prevention, on support, on protection and on prosecution. It really matters that we implement this directive after 10 long years and, indeed, decades.",PPE,2024-04-23,7. Combating violence against women and domestic violence (debate),3, bill_457_ID  bill_457_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-007_EN.html,,
Agnes Jongerius,"Mr President, allow me to make a comparison. For the last ten years, we have been working to remodel our garden. So we mowed the lawn, we planted new trees, we sewed the grass, and we sewed flowers, but we forgot that we never were able to remove or reduce the barrier that’s blocking the water supply. And the vital thing to make the garden grow is water and that’s lacking in the economic governance review. We know, of course, for years that the old rules didn’t work. They had to be revised, but we forgot to ensure enough room for investments. The lack of fiscal capacity ultimately dehydrates our economy. We need a strong investment plan that accompanies the new rules. So therefore I cannot, in good conscience, vote in favour of these rules.",S&D,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),16, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Paolo Gentiloni,"Mr President, honourable Members, we have a lot of work behind us to correct the existing fiscal rules – rules so rigid that they were often not applied. What we have achieved is not perfect. It is a compromise, a good compromise. The result of the determination by all to advance and improve the current legislative work. I want to thank very sincerely all rapporteurs and shadow rapporteurs for their engagement and openness. It was not easy, but it was – and is – important to move forward. The new rules provide more leeway to Member States to set their fiscal trajectory. At the same time, the new framework strengthens incentives for public investment, as the European Parliament had also strongly called for. This is done primarily via the possibility to have a more gradual fiscal adjustment against a set of reforms, and investment meeting certain criteria, and via the exclusion of national co-financing of Union programmes from the net expenditure indicator. The reform framework pays greater attention to social aspects. It acknowledges, for instance, that the surveillance by the Commission will include the monitoring of progress in implementing the principles of the European Pillar of Social Rights and its headline targets via the social scoreboard and framework to identify social convergence risks. And let me underline the crucial contribution of the EMPL Committee to strengthen this particular aspect. The social pillar is also part of the EU common priorities, together with the green and digital transitions and defence as important areas for reform and investment commitments in exchange for a more gradual fiscal adjustment path. I’ve said it before, we have a lot of work behind us. During this time we saw the European economy first collapse for the pandemic, then recover strongly in 2021 and 2022, before slowing sharply after Russia’s invasion of Ukraine, which sparked very high inflation. Across these stages, general escape clause was in force. Now we have, on one hand, the prospect of reducing the accumulated debt and deficit as a result of these two black swans. On the other hand, we must reinforce our weak growth with the recovery of purchasing power, a decline in inflation, and the preservation of public investments. A delicate balance, indeed. But it is to this delicate balance that these new rules are adapted. The adoption of the reform after today’s debate and vote will allow the submission of the first round of medium-term fiscal structural plans already this year. This is the set of rules we need to face current and future challenges with confidence. It will allow a gradual reduction of public debts while not undermining growth. It will help us protecting the level of public investment, which is more than ever needed to finance the green and digital transitions, safeguard our social model and ensure the security of the continent. So I look forward to a good debate.",-,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),6, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
Valdis Dombrovskis,"Mr President, honourable Members, the Commission welcomes the provisional political agreement between the European Parliament and the Council on reforming the EU’s economic governance. This ambitious agreement delivers on the objectives of the Commission’s reform proposal to strengthen Member States’ debt sustainability, and to promote their sustainable and inclusive growth. The revised fiscal rules will help to make the EU more competitive, to strengthen its resilience to tackle the challenges that we face today as well as tomorrow. It addresses several existing shortcomings. It places a greater focus on reducing high debt ratios and deficits in a realistic, gradual and sustained way. It also leaves more room for counter-cyclical policies and incentivises reforms and investments. It supports greater compliance with the rules – for example, by focusing Member States’ plans and their monitoring on a single operational indicator based on net expenditure. We simplify implementation and avoid certain pro-cyclical bias that fiscal policy has had in the past. Let me remind you of the key elements of the revised rules. First, stronger national ownership and differentiation. At the core of the reform are the national medium-term fiscal structural plans. These bring countries’ fiscal reform and investment policies together. The fiscal path will become more differentiated based on the degree of fiscal sustainability challenges. These changes will allow more scope for taking countries’ specific challenges and priorities into account. Second, incentives for reforms and investments. Member States that commit to implementing priority reforms and investments will benefit from a more gradual fiscal adjustment path. Reforms should contribute to fiscal sustainability, promote sustainable and inclusive growth, and contribute to achieving common EU objectives. These include pressing ahead with the green and digital transitions, strengthening Europe’s security and defence, and putting the principles of the European Pillar of Social Rights into effect. Third, better enforcement and common safeguards. Rules are only fully effective if they go hand in hand with credible enforcement. This is why the greater lever for Member States is constrained by a set of common EU safeguards to ensure transparency and equal treatment. The debt-based excessive deficit procedure will be strengthened; a control account will monitor slippages over time; and more effective financial sanctions will enter into force. Honourable Members, it has been a long journey to reach this point. The time has now come to start the implementation. We expect Member States to submit their medium-term fiscal structural plans by 20 September. This will provide clarity about their fiscal policy for years ahead and will set out key reforms and investments. So I look forward to this debate on this crucial topic for the EU’s future resilience.",-,2024-04-23,3. Effective coordination of economic policies and multilateral budgetary surveillance - Speeding up and clarifying the implementation of the excessive deficit procedure – amending Regulation - Requirements for budgetary frameworks of the Member States – amending Directive (joint debate – Economic governance),5, bill_172_ID bill_173_ID bill_174_ID  bill_172_ID bill_173_ID bill_174_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-23-ITM-003_EN.html,,
